network,name,start_time,end_time,latitude,longitude,elevation,components,location_code
XF,LUMP,1997-07-11,1999-06-06,31.899,89.932,4616.0,BHE BHN BHZ,--
XF,NASE,1998-08-23,1999-05-26,31.9891,91.7056,4644.0,BHE BHN BHZ,--
XF,NING,1998-08-06,1998-08-14,30.37957,90.91225,4210.0,BHE BHN BHZ,--
XF,SANG2,1998-08-06,1998-10-05,31.0221,91.7001,4714.0,BHE BHN BHZ,--
XF,ST00,1998-07-17,1998-09-24,30.5259,90.103,4811.0,BHE BHN BHZ,--
XF,ST01,1998-07-17,1999-06-07,30.6498,90.1337,4794.0,BHE BHN BHZ,--
XF,ST02,1998-07-17,1998-07-23,30.7867,90.2492,4801.0,BHE BHN BHZ,--
XF,ST04,1998-07-16,1999-06-06,30.9595,90.1925,4734.0,BHE BHN BHZ,--
XF,ST05,1998-07-16,1999-05-29,31.04,90.1742,4833.0,BHE BHN BHZ,--
XF,ST06,1998-07-16,1999-06-06,31.1234,90.0971,5088.0,BHE BHN BHZ,--
XF,ST07,1998-07-16,1999-06-06,31.228,90.0696,5080.0,BHE BHN BHZ,--
XF,ST08,1998-07-15,1999-05-31,31.299,90.0315,4900.0,BHE BHN BHZ,--
XF,ST09,1997-07-19,1999-06-01,31.421,90.004,4752.0,BHE BHN BHZ,--
XF,ST10,1998-07-15,1999-05-31,31.4927,90.0082,4669.0,BHE BHN BHZ,--
XF,ST11,1998-07-25,1999-05-31,31.5814,89.9808,4745.0,BHE BHN BHZ,--
XF,ST12,1998-07-08,1999-05-31,31.6261,89.8836,4690.0,BHE BHN BHZ,--
XF,ST12A,1998-08-06,1998-11-26,31.64,89.7887,4643.0,BHE BHN BHZ,--
XF,ST13A,1998-08-06,1999-05-08,31.7263,89.703,4593.0,BHE BHN BHZ,--
XF,ST14,1998-08-21,1999-05-30,31.7705,89.7084,4599.0,BHE BHN BHZ,--
XF,ST14A,1998-07-25,1999-01-04,31.8001,89.6612,4528.0,BHE BHN BHZ,--
XF,ST15,1998-07-20,1999-05-30,31.8364,89.6397,4575.0,BHE BHN BHZ,--
XF,ST15A,1998-07-25,1998-09-03,31.851,89.5777,4579.0,BHE BHN BHZ,--
XF,ST16,1998-07-24,1998-09-23,31.8883,89.498,4624.0,BHE BHN BHZ,--
XF,ST16A,1998-07-24,1999-05-29,31.9217,89.4206,4571.0,BHE BHN BHZ,--
XF,ST17,1998-07-24,1999-05-29,31.9398,89.3578,4594.0,BHE BHN BHZ,--
XF,ST18,1998-08-15,1999-05-29,31.9653,89.2693,4621.0,BHE BHN BHZ,--
XF,ST18A,1998-07-24,1999-05-29,31.9746,89.2047,4621.0,BHE BHN BHZ,--
XF,ST19,1998-07-10,1999-05-28,32.0589,89.1913,4602.0,BHE BHN BHZ,--
XF,ST19A,1998-07-24,1999-05-28,32.1032,89.195,4546.0,BHE BHN BHZ,--
XF,ST20,1998-07-09,1999-05-28,32.1696,89.1423,4560.0,BHE BHN BHZ,--
XF,ST21,1998-07-24,1999-05-28,32.2292,89.1334,4548.0,BHE BHN BHZ,--
XF,ST21A,1998-07-24,1999-05-28,32.2752,89.0968,4712.0,BHE BHN BHZ,--
XF,ST22,1998-08-17,1999-05-28,32.3327,89.1164,4809.0,BHE BHN BHZ,--
XF,ST22A,1998-07-27,1999-06-04,32.3753,89.1003,4543.0,BHE BHN BHZ,--
XF,ST23,1998-07-24,1999-06-04,32.4228,89.1077,4761.0,BHE BHN BHZ,--
XF,ST23A,1998-07-26,1999-06-04,32.4714,89.0492,4743.0,BHE BHN BHZ,--
XF,ST24,1998-07-10,1998-12-20,32.4804,88.9844,4914.0,BHE BHN BHZ,--
XF,ST25,1998-08-18,1999-01-15,32.5371,88.9403,4881.0,BHE BHN BHZ,--
XF,ST25A,1998-07-26,1999-06-04,32.6118,88.9534,4955.0,BHE BHN BHZ,--
XF,ST26,1998-07-11,1998-08-18,32.6611,88.9157,4816.0,BHE BHN BHZ,--
XF,ST26A,1998-07-25,1999-06-04,32.6985,88.8665,4880.0,BHE BHN BHZ,--
XF,ST27,1998-07-25,1999-06-04,32.7454,88.8506,4936.0,BHE BHN BHZ,--
XF,ST28,1998-07-11,1999-06-04,32.8217,88.8483,4912.0,BHE BHN BHZ,--
XF,ST29,1998-07-25,1999-06-04,32.9346,88.853,4907.0,BHE BHN BHZ,--
XF,ST30,1998-07-11,1998-08-11,33.0292,88.8548,4958.0,BHE BHN BHZ,--
XF,ST31,1998-07-25,1999-06-02,33.1356,88.8769,4851.0,BHE BHN BHZ,--
XF,ST32,1998-08-20,1999-06-02,33.2426,88.8355,4929.0,BHE BHN BHZ,--
XF,ST33,1998-07-10,1999-06-03,33.3292,88.831,5039.0,BHE BHN BHZ,--
XF,ST34,1998-07-10,1998-10-02,33.4086,88.7647,4991.0,BHE BHN BHZ,--
XF,ST35,1998-07-26,1999-06-03,33.4791,88.7369,4934.0,BHE BHN BHZ,--
XF,ST36,1998-07-11,1999-06-03,33.5235,88.6013,5070.0,BHE BHN BHZ,--
XF,ST37,1998-07-11,1999-06-03,33.6076,88.5233,5168.0,BHE BHN BHZ,--
XF,ST38,1998-07-12,1998-09-01,33.6558,88.5043,5070.0,BHE BHN BHZ,--
XF,ST40,1998-07-12,1998-08-15,33.8165,88.3073,4963.0,BHE BHN BHZ,--
XF,STW1,1998-08-10,1999-05-31,32.0923,88.3064,4681.0,BHE BHN BHZ,--
XF,H0010,2002-10-05,2005-12-31,26.983299,84.893204,22.0,BHE BHN BHZ,01
XF,H0020,2002-10-05,2005-12-31,27.017599,84.904999,24.0,BHE BHN BHZ,01
XF,H0030,2002-10-06,2005-12-31,27.0408,84.907402,27.0,BHE BHN BHZ,01
XF,H0040,2002-10-05,2005-12-31,27.0665,84.937302,33.0,BHE BHN BHZ,01
XF,H0050,2002-10-05,2005-12-31,27.087099,84.9533,38.0,BHE BHN BHZ,01
XF,H0060,2002-10-05,2005-12-31,27.107901,84.967102,42.0,BHE BHN BHZ,01
XF,H0070,2002-10-06,2005-12-31,27.134399,84.969902,51.0,BHE BHN BHZ,01
XF,H0080,2002-10-05,2005-12-31,27.1661,84.984001,75.0,BHE BHN BHZ,01
XF,H0090,2002-10-05,2005-12-31,27.201799,84.979301,113.0,BHE BHN BHZ,01
XF,H0100,2002-10-06,2005-12-31,27.230499,84.987198,162.0,BHE BHN BHZ,01
XF,H0120,2002-09-28,2005-12-31,27.2829,84.988503,267.0,BHE BHN BHZ,01
XF,H0130,2002-09-28,2005-12-31,27.315201,85.008102,523.0,BHE BHN BHZ,01
XF,H0150,2002-09-27,2005-12-31,27.369801,85.013702,647.0,BHE BHN BHZ,01
XF,H0160,2002-09-27,2005-12-31,27.3953,85.022102,461.0,BHE BHN BHZ,01
